Name,Keph level,Facility type,Owner,Regulatory_body,Beds,Cots,County,Constituency,Sub_county,Ward,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night
Chepareria (SDA) Dispensary,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Kenya MPDB - Institution,8,0,WEST POKOT,POKOT SOUTH,pokot south,CHEPARERIA,No,No,No,No
Muthambi Dispensary,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Kenya MPDB - Institution,0,0,THARAKA-NITHI,MAARA,maara,MUTHAMBI,No,No,No,No
Namoruputh (PAG) Health Centre,Level 3,Basic primary health care facility,Christian Health Association of Kenya,Ministry of Health,35,0,TURKANA,LOIMA,loima,LOIMA,No,No,Yes,No
Maji Moto Dispensary (Narok South),Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Kenya MPDB - Institution,0,0,"NAROK","NAROK SOUTH",narok south,MAJI MOTO/NAROOSURA,No,No,No,No
Mary Immaculate Dispensary (Eldoret East),Level 2,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Catholic Secretariat,Kenya MPDB - Institution,0,0,UASIN GISHU,AINABKOI,ainabkoi,KAPTAGAT,No,No,No,No
Intrepids Dispensary,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Private Practice,4,0,SAMBURU,SAMBURU EAST,samburu east,WAMBA WEST,No,No,No,No
Chesta Dispensary,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Kenya MPDB - Institution,0,0,WEST POKOT,SIGOR,pokot central,LOMUT,No,No,No,No
Lokwatubwa (PAG) Dispensary,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Ministry of Health,0,0,TURKANA,LOIMA,loima,LOIMA,No,No,Yes,No
3KR Health Centre,Level 3,Basic primary health care facility,Armed Forces,Other,20,12,"NAKURU","NAKURU TOWN EAST",nakuru east,MENENGAI,Yes,No,Yes,No
Base Medical Centre,Level 3,Basic primary health care facility,Armed Forces,Other,7,0,LAIKIPIA,LAIKIPIA EAST,laikipia east,"NANYUKI",No,No,No,No
Naivasha Max Prison Health Centre,Level 3,Basic primary health care facility,Public Institution,Ministry of Health,20,0,"NAKURU","NAIVASHA",naivasha,VIWANDANI,Yes,No,Yes,No
Githunguri Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,10,0,KIAMBU,GITHUNGURI,githunguri,GITHUNGURI,No,No,No,No
Sigor Sub District Hospital,Level 4,Primary care hospitals,Ministry of Health,Ministry of Health,12,2,WEST POKOT,SIGOR,pokot central,WEI WEI,Yes,No,Yes,No
GK Prisons Dispensary (Kericho),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KERICHO,AINAMOI,ainamoi,KIPCHEBOR,No,No,Yes,No
Mwashuma Dispensary (CDF),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,TAITA TAVETA,MWATATE,mwatate,BURA(MWATATE),No,No,No,No
Kapkiamo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BARINGO,BARINGO NORTH,baringo north,KABARTONJO,No,No,No,No
Kaptebengwo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BOMET,SOTIK,sotik,RONGENA/MANARET,No,No,No,No
Kiricha Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BOMET,SOTIK,sotik,KIPSONOI,No,No,No,No
Changach Barak Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,ELEGEYO-MARAKWET,KEIYO SOUTH,keiyo south,SOY NORTH,No,No,No,No
Tebesonik Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,8,0,KERICHO,BURETI,bureti,TEBESONIK,No,No,No,No
Nanighi Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TANA RIVER,BURA,BURA,CHEWELE,No,No,Yes,No
Kamaget Dispensary (Trans Mara),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,"NAROK",EMURUA DIKIRR,transmara east,IIKERIN,No,No,No,No
Kalemungorok Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,TURKANA,TURKANA SOUTH,turkana south,KATILU,No,No,No,No
Kalalu Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,LAIKIPIA,LAIKIPIA NORTH,laikipia east,UMANDE,No,No,No,No
Emurua Dikirr  Health centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,"NAROK",EMURUA DIKIRR,transmara east,MOGONDO,No,No,No,No
Gsu Dispensary (Kabarak),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,"NAKURU",RONGAI,rongai,MENENGAI WEST,No,No,No,No
GK Prisons Dispensary (Laikipia East),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,LAIKIPIA,LAIKIPIA EAST,laikipia east,THINGITHU,No,No,No,No
Tegego Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,UASIN GISHU,SOY,soy,KUINET/KAPSUSWA,No,No,No,No
Thigio Dispensary (Laikipia West),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,LAIKIPIA,LAIKIPIA WEST,laikipia west,MARMANET,No,No,No,No
Lower Solai Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,6,3,"NAKURU",RONGAI,rongai,SOLAI,Yes,No,Yes,No
Lodungokwe Health Centre,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,0,SAMBURU,SAMBURU EAST,samburu east,WAMBA WEST,No,No,No,No
Lamuria Dispensary (Laikipia East),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,LAIKIPIA,LAIKIPIA EAST,laikipia east,TIGITHI,No,No,No,No
Lelechwet Dispensary (Kipkelion),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,0,KERICHO,KIPKELION WEST,kipkelion west,KAMASIAN,No,No,No,No
Kipsitet Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,0,KERICHO,SIGOWET/SOIN,sigowet/soin,SOIN,Yes,No,Yes,No
Khartoum Tea Dispensary,Level 2,Dispensaries and clinic-out patient only,Company Medical Service,Kenya MPDB - Private Practice,0,0,"NANDI","NANDI HILLS",nandi east,CHEPKUNYUK,Yes,No,Yes,No
Kamunyaka Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,MURANG'A,KANDARA,kandara,KAGUNDU-INI,No,No,Yes,No
PCEA Dandora Clinic,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Kenya MPDB - Institution,0,0,"NAIROBI",EMBAKASI NORTH,embakasi north,DANDORA AREA II,No,No,No,No
Mombwo Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,"NANDI",TINDERET,tinderet,SONGHOR/SOBA,No,No,No,No
Molosirwe Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BARINGO,MOGOTIO,mogotio,EMINING,No,No,No,No
Kaptimbor Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BARINGO,BARINGO CENTRAL,baringo central,KAPROPITA,No,No,No,No
Kaptumin Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BARINGO,BARINGO NORTH,baringo north,KABARTONJO,No,No,No,No
Kamuthe Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TANA RIVER,BURA,BURA,CHEWELE,No,No,No,No
Namuduru Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUSIA,FUNYULA,samia,BWIRI,No,No,No,No
Changara (GOK) Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUSIA,TESO NORTH,teso north,ANG'URAI EAST,No,No,No,No
Simotwo Dispensary (Keiyo),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,ELEGEYO-MARAKWET,KEIYO SOUTH,keiyo south,KABIEMIT,No,No,No,No
Savane Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KAKAMEGA,IKOLOMANI,ikolomani,IDAKHO SOUTH,No,No,No,No
Shivanga Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,KAKAMEGA,MALAVA,malava,MANDA-SHIVANGA,No,No,No,No
Kimaeti Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,16,0,BUNGOMA,BUMULA,bumula,KIMAETI,No,No,Yes,No
Mabasi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KERICHO,BURETI,bureti,KISIARA,No,No,No,No
Ntulele Health centre,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,"NAROK","NAROK EAST",narok east,MOSIRO,No,No,No,No
Challa Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,TAITA TAVETA,TAVETA,taveta,CHALA,No,No,No,No
Okilgei Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,"NAKURU",RONGAI,rongai,MOSOP,No,No,No,No
Sochoi (AIC) Dispensary,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Ministry of Health,0,0,"NANDI","NANDI HILLS",nandi east,CHEPKUNYUK,No,No,No,No
Mogoon Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,12,0,UASIN GISHU,SOY,soy,KAPKURES,No,No,No,No
Mariwa Dispensary (Kipkelion),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,0,KERICHO,KIPKELION WEST,kipkelion west,CHILCHILA,No,No,No,No
Luoniek Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,LAIKIPIA,LAIKIPIA NORTH,laikipia north,SOSIAN,No,No,No,No
Pesi Dispensary (Laikipia West),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,LAIKIPIA,LAIKIPIA WEST,laikipia west,SALAMA,No,No,No,No
Piave Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,"NAKURU",NJORO,njoro,NJORO,No,No,No,No
GOK Rumuruti Prisons Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,LAIKIPIA,LAIKIPIA WEST,laikipia west,RUMURUTI TOWNSHIP,No,No,Yes,No
Kibuke Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Other,0,0,BUNGOMA,BUMULA,bumula,WEST BUKUSU,No,No,No,No
Sego Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,ELEGEYO-MARAKWET,KEIYO SOUTH,keiyo south,SOY NORTH,No,No,No,No
Chifiri Dispensary (LATIF),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,TANA RIVER,GALOLE,GALOLE,WAYU,No,No,No,No
Tumaini Medical Clinic (Makuyu),Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,MURANG'A,MARAGWA,maragwa,KAMAHUHA,No,No,No,No
Woodpark Med Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,MURANG'A,MARAGWA,maragwa,MAKUYU,No,No,No,No
Mahianyu Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,LAIKIPIA,LAIKIPIA WEST,laikipia west,IGWAMITI,No,No,No,No
Maranjau Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MURANG'A,MARAGWA,maragwa,KAMBITI,No,No,No,No
GK Prisons Dispensary (Kiambu),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KIAMBU,KIAMBU,kiambu town,TOWNSHIP,No,No,No,No
Irigiro Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MURANG'A,KIGUMO,kigumo,MUTHITHI,No,No,No,No
Kamahuha Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,MURANG'A,MARAGWA,maragwa,KAMAHUHA,No,No,No,No
Kambiti Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,MURANG'A,MARAGWA,maragwa,KAMBITI,No,No,No,No
Kieni Model Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,THARAKA-NITHI,MAARA,maara,MWIMBI,No,No,No,No
Ndovu Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,TAITA TAVETA,VOI,voi,KALOLENI,No,No,No,No
Makere Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,TANA RIVER,GALOLE,GALOLE,CHEWANI,No,No,No,No
Oljabet Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,10,0,LAIKIPIA,LAIKIPIA WEST,laikipia west,MARMANET,No,No,No,No
Namukuse Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,TURKANA,TURKANA CENTRAL,turkana central,KANG'ATOTHA,No,No,Yes,No
Melwa Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,LAIKIPIA,LAIKIPIA WEST,laikipia west,MARMANET,No,No,No,No
Sereng Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,4,0,KERICHO,KIPKELION WEST,kipkelion west,KIPKELION,No,No,No,No
Kiambogo Dispensary (Naivasha),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,"NAKURU",GILGIL,gilgil,MBARUK/EBURU,No,No,No,No
Ziwani Dispensary,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Institution,0,0,TAITA TAVETA,TAVETA,taveta,CHALA,No,No,No,No
Ingavira Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,KAKAMEGA,MALAVA,malava,SOUTH KABRAS,No,No,No,No
Webuye Surgical,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Institution,6,0,BUNGOMA,WEBUYE EAST,webuye east,MARAKA,Yes,No,No,No
Kiruri Dispensary (Laikipia West),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Other,0,0,LAIKIPIA,LAIKIPIA WEST,laikipia west,MARMANET,No,No,No,No
Mt Longonot Hospital,Level 4,Primary care hospitals,Private Practice - General Practitioner,Kenya MPDB - Institution,33,2,"NAKURU","NAIVASHA",naivasha,LAKE VIEW,Yes,No,Yes,No
Kilawa Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KITUI,KITUI SOUTH,kitui south,ATHI,No,No,No,No
Mulemi Maternity Home,Level 3,Basic primary health care facility,Private Practice - General Practitioner,Kenya MPDB - Institution,12,0,"NAKURU","NAIVASHA",naivasha,LAKE VIEW,Yes,No,Yes,No
Naivasha (AIC) Medical Centre,Level 3,Basic primary health care facility,Christian Health Association of Kenya,Kenya MPDB - Institution,10,5,"NAKURU","NAIVASHA",naivasha,HELLSGATE,Yes,No,Yes,No
Diwopa Health Centre,Level 3,Basic primary health care facility,Kenya Episcopal Conference-Catholic Secretariat,Kenya MPDB - Institution,32,2,"NAIROBI",EMBAKASI CENTRAL,embakasi central,KAYOLE CENTRAL,Yes,No,Yes,No
Matiliku District Hospital,Level 4,Secondary care hospitals,Ministry of Health,Ministry of Health,12,0,MAKUENI,MAKUENI,makueni,NZAUI/KILILI/KALAMBA,Yes,No,Yes,No
St Joseph Hospital,Level 4,Primary care hospitals,Kenya Episcopal Conference-Catholic Secretariat,Kenya MPDB - Institution,200,20,"NAROK",KILGORIS,transmara west,SHANKOE,No,No,No,No
Acode Medical Clinic Maungu,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Institution,0,0,TAITA TAVETA,VOI,voi,MARUNGU,No,No,No,No
St Theresia of Jesus,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Clinical Officers Council,0,0,"NAROK",KILGORIS,transmara west,KIMINTET,No,No,No,No
Family Healthoptions Kenya (Nakuru),Level 3,Basic primary health care facility,Non-Governmental Organizations,Kenya MPDB - Institution,0,0,"NAKURU","NAKURU TOWN EAST",nakuru east,BIASHARA,No,No,Yes,No
Panda Flowers Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Company Medical Service,Kenya MPDB - Institution,0,0,"NAKURU","NAIVASHA",naivasha,VIWANDANI,No,No,Yes,No
St Mary Medical Clinic (Nakuru North),Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,"NAKURU",BAHATI,nakuru north,KABATINI,No,No,No,No
Ndongo Purple Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,TAITA TAVETA,TAVETA,taveta,BOMANI,No,No,No,No
Wangu Maternity Home,Level 3,Basic primary health care facility,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),13,13,"NAKURU","NAIVASHA",naivasha,BIASHARA,No,No,No,No
Msau Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,TAITA TAVETA,MWATATE,mwatate,RONGE,No,No,No,No
Likii Dispensary,Level 2,Dispensaries and clinic-out patient only,Public Institution,Ministry of Health,0,0,LAIKIPIA,LAIKIPIA EAST,laikipia east,"NANYUKI",No,No,No,No
Kamawoi Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KERICHO,BELGUT,belgut,KABIANGA,No,No,No,No
Dr Kiomes Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Other,0,0,MERU,NORTH IMENTI,imenti north,MUNICIPALITY,No,No,No,No
Generations Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,MURANG'A,KIGUMO,kigumo,KIGUMO,No,No,No,No
Kauwi Sub-District Hospital,Level 4,Primary care hospitals,Ministry of Health,Ministry of Health,12,2,KITUI,KITUI WEST,kitui west,KWAMUTONGA/KITHUMULA,No,No,No,No
Kositei Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BARINGO,TIATY,tiaty,RIBKWO,No,No,No,No
Tangulbei Health Centre,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,12,0,BARINGO,TIATY,tiaty,TANGULBEI/KOROSSI,Yes,No,Yes,No
Runyenjes District Hospital,Level 4,Secondary care hospitals,Ministry of Health,Ministry of Health,27,0,EMBU,RUNYENJES,runyenjes,CENTRAL  WARD,Yes,No,Yes,No
Nyatoto Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,6,0,HOMA BAY,SUBA,suba,RUMA-KAKSINGIRI EAST,Yes,No,Yes,No
Waware Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,1,0,HOMA BAY,MBITA,mbita,RUSINGA ISLAND,No,No,No,No
St Luke's Health Centre (Mbita),Level 3,Basic primary health care facility,Kenya Episcopal Conference-Catholic Secretariat,Kenya MPDB - Institution,8,0,HOMA BAY,MBITA,mbita,MFANGANO ISLAND,No,No,No,No
Kambi Ya Juu Catholic Dispensary (Isiolo),Level 2,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Catholic Secretariat,Kenya MPDB - Institution,0,0,ISIOLO,ISIOLO NORTH,isiolo,BULLA PESA,No,No,No,No
ACK Dispensary (Isiolo),Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Kenya MPDB - Institution,2,0,ISIOLO,ISIOLO NORTH,isiolo,BULLA PESA,No,No,No,No
Chwele Sub district hospital,Level 4,Primary care hospitals,Ministry of Health,Ministry of Health,12,0,BUNGOMA,KABUCHAI,kabuchai,KABUCHAI/CHWELE,Yes,No,Yes,No
Kenya Navy (Mir) Hospital,Level 4,Primary care hospitals,Armed Forces,Ministry of Health,20,4,MOMBASA,LIKONI,likoni,MTONGWE,Yes,No,Yes,No
Ahero County Hospital,Level 4,Primary care hospitals,Ministry of Health,Ministry of Health,30,0,KISUMU,NYANDO,nyando,AHERO,Yes,No,Yes,No
Macalder Sub-District Hospital,Level 4,Primary care hospitals,Ministry of Health,Ministry of Health,42,0,MIGORI,NYATIKE,nyatike sub county,MACALDER/KANYARWANDA,No,No,No,No
Muthara Sub-District Hospital,Level 3,Primary care hospitals,Ministry of Health,Ministry of Health,17,3,MERU,TIGANIA EAST,tigania east,MUTHARA,Yes,No,Yes,No
Letea Dispensary,Level 2,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Catholic Secretariat,Kenya MPDB - Institution,0,0,TURKANA,TURKANA WEST,turkana west,LETEA,No,No,No,No
Kikumini Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,4,0,MAKUENI,KIBWEZI WEST,kibwezi west,NGUU/MASUMBA,Yes,No,Yes,No
Karuturi Hospital,Level 4,Primary care hospitals,Company Medical Service,Kenya MPDB - Institution,40,2,"NAKURU","NAIVASHA",naivasha,OLKARIA,Yes,No,Yes,No
Kithyoko Mercy Medical Clinic,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Institution,0,2,MACHAKOS,MASINGA,masinga,KIVAA,No,No,No,No
St Elizabeth Nursing Home,Level 4,Basic primary health care facility,Private Practice - General Practitioner,Kenya MPDB - Institution,12,5,"NAKURU","NAKURU TOWN EAST",nakuru east,BIASHARA,No,No,No,No
Murgor Hills Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,UASIN GISHU,TURBO,turbo,TAPSAGOI,No,No,No,No
Olchobosei Clinic,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Nursing Council of Kenya (Private Practice),4,0,"NAROK",EMURUA DIKIRR,transmara east,OLOlMASANI,Yes,No,Yes,No
GK Prison Dispensary (Malindi),Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,KILIFI,MALINDI,malindi,MALINDI TOWN,No,No,No,No
Khunyangu Sub-District Hospital,Level 3,Secondary care hospitals,Ministry of Health,Ministry of Health,31,0,BUSIA,BUTULA,butula,MARACHI CENTRAL,Yes,No,Yes,No
Karurumo Rhtc,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,18,2,EMBU,RUNYENJES,runyenjes,KYENI SOUTH,No,No,No,No
Nyadenda Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,4,0,HOMA BAY,SUBA,suba,RUMA-KAKSINGIRI EAST,No,No,No,No
Ang'iya Dispensary,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,HOMA BAY,MBITA,mbita,KASGUNGA,No,No,No,No
Pala Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,7,0,HOMA BAY,NDHIWA,ndhiwa,KABUOCH SOUTH/PALA,No,No,No,No
Kijauri Sub District Hospital,Level 4,Primary care hospitals,Ministry of Health,Ministry of Health,6,0,NYAMIRA,BORABU,borabu,NYANSIONGO,Yes,No,Yes,No
Bukura Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,17,2,KAKAMEGA,LURAMBI,lurambi,BUTSOTSO SOUTH,Yes,No,Yes,No
Kamoko Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,15,0,NYERI,Nyeri South,nyeri south,MAHIGA,Yes,No,No,No
Gurar Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,WAJIR,WAJIR NORTH,wajir north,GURAR,Yes,No,Yes,No
Mutionjuri Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,0,0,MERU,TIGANIA WEST,tigania west,KIANJAI,No,No,No,No
Raganga Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,6,0,KISII,KITUTU CHACHE SOUTH,kitutu chache south,BOGUSERO,No,No,Yes,No
Ndaragwa Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,13,0,NYANDARUA,NDARAGWA,ndaragwa,CENTRAL,Yes,No,Yes,No
Nimoli Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Institution,4,1,"NAIROBI",KASARANI,kasarani,KASARANI,Yes,No,Yes,No
Babadogo Medical Health Centre,Level 3,Basic primary health care facility,Private Enterprise (Institution),Kenya MPDB - Institution,0,0,"NAIROBI",RUARAKA,ruaraka,BABANDOGO,No,No,No,No
Mt Kenya (ACK) Hospital,Level 3,Basic primary health care facility,Christian Health Association of Kenya,Kenya MPDB - Institution,37,0,KIRINYAGA,KIRINYAGA CENTRAL,kirinyaga central,INOI,Yes,No,Yes,No
Malindi District Hospital,Level 4,Secondary care hospitals,Ministry of Health,Ministry of Health,183,17,KILIFI,MALINDI,malindi,SHELLA,Yes,No,Yes,No
Consolata Mission Hospital (Mathari),Level 4,Primary care hospitals,Kenya Episcopal Conference-Catholic Secretariat,Kenya MPDB - Institution,170,17,NYERI,NYERI TOWN,nyeri central,KIGANJO/MATHARI,Yes,No,Yes,No
Mt Kenya Sub-District Hospital,Level 4,Primary care hospitals,Ministry of Health,Ministry of Health,16,0,NYERI,NYERI TOWN,nyeri central,RWARE,No,No,No,No
Kinoro Sub-District Hospital,Level 4,Primary care hospitals,Ministry of Health,Ministry of Health,0,0,MERU,SOUTH IMENTI,imenti south,IGOJI WEST,No,No,No,No
Wajir County Referral Hospital,Level 4,Secondary care hospitals,Ministry of Health,Ministry of Health,120,10,WAJIR,WAJIR EAST,wajir east,TOWNSHIP,Yes,No,Yes,No
Dr Rati S Shah,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Other,0,0,MOMBASA,MVITA,mvita,MAJENGO,No,No,No,No
Nasewa Health Centre,Level 2,Basic primary health care facility,Ministry of Health,Ministry of Health,2,0,BUSIA,MATAYOS,matayos,MATAYOS SOUTH,No,No,No,No
Magina Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,5,0,HOMA BAY,NDHIWA,ndhiwa,KABOUCH NORTH,No,No,No,No
Homa Lime Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,6,2,HOMA BAY,KARACHUONYO,karachuonyo,KIBIRI,Yes,No,Yes,No
Shiraha Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,5,2,KAKAMEGA,BUTERE,butere,MARAMA NORTH,No,No,No,No
Bushiri Health Centre,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,13,1,KAKAMEGA,"NAVAKHOLO",navakholo,INGOSTE-MATIHA,Yes,No,Yes,No
